Price,District,City,Town,Type,EnergyCertificate,Floor,Lift,Parking,HasParking,ConstructionYear,TotalArea,GrossArea,PublishDate,Garage,Elevator,ElectricCarsCharging,TotalRooms,NumberOfBedrooms,NumberOfWC,ConservationStatus,LivingArea,LotSize,BuiltArea,NumberOfBathrooms
140000,Setúbal,Seixal,Fernão Ferro,House,E,,,0,,2021,85,,49:21.7,FALSE,FALSE,FALSE,3,2,0,,85,410,,1
145000,Porto,Gondomar,Fânzeres e São Pedro da Cova,Apartment,D,1st Floor,TRUE,0,FALSE,1993,91,94,,,,,3,,,,90,,,2
125000,Lisboa,Alenquer,Alenquer (Santo Estêvão e Triana),Apartment,D,Ground Floor,FALSE,0,FALSE,1977,67,,,,,,2,,,,67,,,1
320000,Lisboa,Mafra,"Enxara do Bispo, Gradil e Vila Franca do Rosário",Apartment,D,Ground Floor,FALSE,3,TRUE,2007,125,,,,,,3,,,,107,,,4
130000,Santarém,Santarém,Pernes,Apartment,E,,,0,,1973,109,,,FALSE,FALSE,FALSE,,3,0,,109,,,2
117000,Évora,Estremoz,Estremoz (Santa Maria e Santo André),House,F,1st Floor,FALSE,0,FALSE,1951,105,,,,,,2,,,,105,,,0
300000,Santarém,Entroncamento,Nossa Senhora de Fátima,Apartment,NC,,,0,,2024,193,,,TRUE,TRUE,FALSE,4,3,0,,104,,193.6,2
1480000,Beja,Moura,Moura (Santo Agostinho e São João Baptista) e Santo Amador,Building,C,,FALSE,0,FALSE,,1418,,,,,,,,,,1418,,,0
106500,Leiria,Alvaiázere,Pussos São Pedro,House,NC,,,0,,1937,108,,,FALSE,FALSE,FALSE,,3,0,,216,740,,0
250000,Viana do Castelo,Viana do Castelo,Viana do Castelo (Santa Maria Maior e Monserrate) e Meadela,Apartment,D,1st Floor,TRUE,2,TRUE,1999,102,,,,,,3,,,,102,,,4
